,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,race,p1_long_rallies_won,p2_long_rallies_won,Score Factor_1,Service Factor_1,Break Factor_1,Rally Factor_1,Points Advantage_1,Serve Advantage_1,Unforced Errors_1,Winners_1,Momentum_1,Score Factor_2,Service Factor_2,Break Factor_2,Rally Factor_2,Points Advantage_2,Serve Advantage_2,Unforced Errors_2,Winners_2,Momentum_2,p1_victor,p2_victor
0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,95.0,BC,NCTL,ND,0,0,0,0,0,0.0,0.6526315720775624,-1,1,-1,0,0.0,0,0,0.0,0.34736841739612195,0,-1,0,0,0.0,0,1
1,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:38,1,1,2,0,0,0,0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118.0,B,CTL,ND,0,0,0,0,0,0.0,0.6526315720775624,0,1,-1,0,0.0,0,0,0.0,0.34736841739612195,0,-1,0,0,0.0,1,1
2,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:01,1,1,3,0,0,0,0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120.0,B,NCTL,D,0,0,1,0,0,0.0,0.6526315720775624,-1,1,-2,0,0.0,0,0,0.0,0.34736841739612195,0,-1,0,0,0.0,0,1
3,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:31,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130.0,BW,CTL,D,0,1,0,0,0,0.0,0.6526315720775624,0,1,-2,1,0.0,0,0,0.0,0.34736841739612195,0,-1,0,0,0.0,1,1
4,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:21,1,1,5,0,0,0,0,30,30,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112.0,W,NCTL,,1,0,0,0,1,0.0,0.6526315720775624,1,1,-2,2,0.0,0,-1,0.0,0.34736841739612195,0,-1,0,0,0.0,1,1
5,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:50,1,1,6,0,0,0,0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97.0,BW,NCTL,ND,0,0,0,0,1,0.0,0.6526315720775624,0,1,-2,2,0.0,0,-1,0.0,0.34736841739612195,0,-1,0,0,0.0,0,1
6,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:03:33,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109.0,W,CTL,D,1,0,0,0,2,0.0,0.6526315720775624,1,1,-2,3,0.0,0,-2,0.0,0.34736841739612195,0,-1,0,0,0.0,1,1
7,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:01,1,1,8,0,0,0,0,AD,40,1,2,2,4,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105.0,B,NCTL,ND,0,0,1,0,2,0.0,0.6526315720775624,0,1,-2,3,0.0,0,-2,0.0,0.34736841739612195,0,-1,0,1,0.0,0,1
8,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:48,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128.0,BC,CTL,D,0,1,0,0,2,0.0,0.6526315720775624,1,1,-2,3,0.0,0,-2,0.0,0.34736841739612195,0,-1,0,1,0.0,1,1
9,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:05:32,1,1,10,0,0,0,0,AD,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110.0,B,NCTL,ND,0,1,0,0,2,0.0,0.6526315720775624,2,1,-2,3,4.211131874889835,0,-2,0.0,0.34736841739612195,0,-1,0,1,-0.47444221823574884,1,1
